# freq_THz  G_total  G_Al  G_N  G_Ga
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
4.9560546875e+01 4.1120640189e-04 1.4902481040e-04 2.6143306321e-04 7.4852828114e-07
4.9804687500e+01 4.1059180596e-04 1.4791463227e-04 2.6193030146e-04 7.4687222680e-07
5.0048828125e+01 3.8685989518e-04 1.3788361213e-04 2.4823028587e-04 7.4599717786e-07
5.0292968750e+01 3.5447150784e-04 1.2461308376e-04 2.2916719571e-04 6.9122836804e-07
5.0537109375e+01 3.2844449952e-04 1.1387112285e-04 2.1393848964e-04 6.3488703102e-07
5.0781250000e+01 3.0639578640e-04 1.0459469163e-04 2.0126349294e-04 5.3760183573e-07
5.1025390625e+01 2.8867644538e-04 9.6744579343e-05 1.9149002292e-04 4.4184312055e-07
5.1269531250e+01 2.7341778883e-04 9.0025556777e-05 1.8302770948e-04 3.6452256673e-07
5.1513671875e+01 2.6835066892e-04 8.6504498243e-05 1.8153749337e-04 3.0867730310e-07
5.1757812500e+01 2.7918515097e-04 8.7726905274e-05 1.9118587382e-04 2.7237188330e-07
5.2001953125e+01 3.1886619122e-04 9.7190661624e-05 2.2143386538e-04 2.4166422061e-07
5.2246093750e+01 4.0265383051e-04 1.1818664618e-04 2.8424839857e-04 2.1878576044e-07
5.2490234375e+01 4.8277151657e-04 1.3757797868e-04 3.4498379037e-04 2.0974751960e-07
5.2734375000e+01 4.7591189398e-04 1.3320769027e-04 3.4248689737e-04 2.1730634911e-07
5.2978515625e+01 3.6919022518e-04 1.0290280570e-04 2.6602541638e-04 2.6200310239e-07
5.3222656250e+01 2.5072798868e-04 7.0988573174e-05 1.7939905846e-04 3.4035704834e-07
5.3466796875e+01 1.7743706958e-04 5.1739376864e-05 1.2526739241e-04 4.3030031168e-07
5.3710937500e+01 1.3819869395e-04 4.0929898326e-05 9.6702440704e-05 5.6635492145e-07
5.3955078125e+01 1.1451677974e-04 3.4057099055e-05 7.9793291410e-05 6.6638927042e-07
5.4199218750e+01 8.2588769188e-05 2.4648546431e-05 5.7414652734e-05 5.2557002308e-07
5.4443359375e+01 4.8305673626e-05 1.4212439143e-05 3.3775915100e-05 3.1731938271e-07
5.4687500000e+01 3.0139925374e-05 8.6442886698e-06 2.1287956128e-05 2.0768057549e-07
