# freq_THz  G_total_s  G_B_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_partials=True
3.9794921875e+01 5.5833414134e-02 3.6803620632e-02 6.8578082009e-04 1.8344012682e-02
4.0039062500e+01 6.0848952109e-02 4.0233348045e-02 7.1273726509e-04 1.9902866798e-02
4.0283203125e+01 6.1814506523e-02 4.0924887697e-02 7.0268067698e-04 2.0186938149e-02
4.0527343750e+01 5.8131364878e-02 3.8474196099e-02 6.5221762055e-04 1.9004951158e-02
4.0771484375e+01 5.0785586809e-02 3.3548892455e-02 5.7264193189e-04 1.6664052422e-02
4.1015625000e+01 4.1731771440e-02 2.7470678490e-02 4.8386941797e-04 1.3777223532e-02
4.1259765625e+01 3.2773508544e-02 2.1458651076e-02 4.0284777649e-04 1.0912009692e-02
4.1503906250e+01 2.4964613127e-02 1.6225807647e-02 3.3703306415e-04 8.4017724155e-03
4.1748046875e+01 1.8599654487e-02 1.1973500510e-02 2.8520103230e-04 6.3409529440e-03
4.1992187500e+01 1.3514560751e-02 8.5926298394e-03 2.4221285775e-04 4.6797180537e-03
4.2236328125e+01 9.4759633555e-03 5.9238873517e-03 2.0397274017e-04 3.3481032636e-03
4.2480468750e+01 6.3637172227e-03 3.8822075100e-03 1.6931573850e-04 2.3121939742e-03
4.2724609375e+01 4.1128063510e-03 2.4204788801e-03 1.3881440502e-04 1.5535130659e-03
4.2968750000e+01 2.6211632937e-03 1.4675551989e-03 1.1310446867e-04 1.0405036261e-03
4.3212890625e+01 1.7219025279e-03 9.0870664886e-04 9.2201649416e-05 7.2099422963e-04
4.3457031250e+01 1.2177135012e-03 6.0913957537e-04 7.5640511150e-05 5.3293341464e-04
4.3701171875e+01 9.3980948142e-04 4.5427438137e-04 6.2820725301e-05 4.2271437474e-04
4.3945312500e+01 7.7863570054e-04 3.7042523279e-04 5.3176700669e-05 3.5503376708e-04
4.4189453125e+01 6.7646162116e-04 3.1955501442e-04 4.6174526179e-05 3.1073208056e-04
4.4433593750e+01 6.0564877194e-04 2.8439953719e-04 4.1261718449e-05 2.7998751630e-04
4.4677734375e+01 5.5218129738e-04 2.5707798774e-04 3.7864709224e-05 2.5723860041e-04
4.4921875000e+01 5.0873511275e-04 2.3411536381e-04 3.5451103148e-05 2.3916864580e-04
4.5166015625e+01 4.7197114830e-04 2.1439698458e-04 3.3605198522e-05 2.2396896519e-04
4.5410156250e+01 4.4038665246e-04 1.9751529739e-04 3.2095314805e-05 2.1077604026e-04
4.5654296875e+01 4.1322425569e-04 1.8292428407e-04 3.0909384844e-05 1.9939058678e-04
4.5898437500e+01 3.9052487042e-04 1.7016423839e-04 3.0200776954e-05 1.9015985508e-04
4.6142578125e+01 3.7309332989e-04 1.5928500653e-04 3.0144002370e-05 1.8366432099e-04
4.6386718750e+01 3.6172713024e-04 1.5072929782e-04 3.0793289845e-05 1.8020454257e-04
4.6630859375e+01 3.5619915328e-04 1.4472075411e-04 3.2046377298e-05 1.7943202186e-04
4.6875000000e+01 3.5485029239e-04 1.4076064676e-04 3.3714581694e-05 1.8037506394e-04
4.7119140625e+01 3.5500494137e-04 1.3768401432e-04 3.5608549890e-05 1.8171237716e-04
4.7363281250e+01 3.5402136431e-04 1.3423512528e-04 3.7604673722e-05 1.8218156531e-04
4.7607421875e+01 3.5073496248e-04 1.2976593791e-04 3.9744835785e-05 1.8122418878e-04
4.7851562500e+01 3.4624789246e-04 1.2444516652e-04 4.2328275399e-05 1.7947445054e-04
4.8095703125e+01 3.4303969834e-04 1.1882807455e-04 4.5813376719e-05 1.7839824707e-04
4.8339843750e+01 3.4309990193e-04 1.1336355394e-04 5.0498025085e-05 1.7923832290e-04
4.8583984375e+01 3.4672278776e-04 1.0819551110e-04 5.6271454174e-05 1.8225582249e-04
4.8828125000e+01 3.5275798769e-04 1.0321779354e-04 6.2674033330e-05 1.8686616082e-04
4.9072265625e+01 3.5972052187e-04 9.8373673867e-05 6.9111532507e-05 1.9223531549e-04
4.9316406250e+01 3.6650262860e-04 9.3881694260e-05 7.5001136786e-05 1.9761979755e-04
4.9560546875e+01 3.7223338902e-04 9.0038866371e-05 7.9855289529e-05 2.0233923312e-04
4.9804687500e+01 3.7594306764e-04 8.6869327881e-05 8.3350411355e-05 2.0572332841e-04
5.0048828125e+01 3.7666675300e-04 8.4083090549e-05 8.5346814367e-05 2.0723684808e-04
5.0292968750e+01 3.7391802098e-04 8.1384238036e-05 8.5862285908e-05 2.0667149704e-04
5.0537109375e+01 3.6797325433e-04 7.8720002485e-05 8.5051626234e-05 2.0420162561e-04
5.0781250000e+01 3.5960709246e-04 7.6153675454e-05 8.3196280394e-05 2.0025713661e-04
5.1025390625e+01 3.4968265192e-04 7.3637554388e-05 8.0670515604e-05 1.9537458192e-04
