# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
7.2509765625e+01 2.4557481909e-07 9.9869857621e-08 1.4570496147e-07
7.2753906250e+01 2.5404597234e-07 1.0359581733e-07 1.5045015501e-07
7.2998046875e+01 2.6050857413e-07 1.0585071323e-07 1.5465786090e-07
7.3242187500e+01 2.6550858715e-07 1.0777985197e-07 1.5772873518e-07
7.3486328125e+01 2.6866330865e-07 1.0901242304e-07 1.5965088560e-07
7.3730468750e+01 2.7081102040e-07 1.0969390773e-07 1.6111711266e-07
7.3974609375e+01 2.7348072660e-07 1.1034107271e-07 1.6313965389e-07
7.4218750000e+01 2.8099403340e-07 1.1242147197e-07 1.6857256142e-07
7.4462890625e+01 3.0074997101e-07 1.1928458845e-07 1.8146538256e-07
7.4707031250e+01 3.3300883945e-07 1.3103100547e-07 2.0197783397e-07
7.4951171875e+01 3.6483194447e-07 1.4354693813e-07 2.2128500634e-07
7.5195312500e+01 3.8192154742e-07 1.5098810467e-07 2.3093344274e-07
7.5439453125e+01 3.8620924374e-07 1.5322511503e-07 2.3298412871e-07
7.5683593750e+01 3.8446638004e-07 1.5234232521e-07 2.3212405483e-07
7.5927734375e+01 3.7761486090e-07 1.4955105069e-07 2.2806381021e-07
7.6171875000e+01 3.6254486291e-07 1.4394300856e-07 2.1860185435e-07
7.6416015625e+01 3.3426425895e-07 1.3274404201e-07 2.0152021695e-07
7.6660156250e+01 2.9552315552e-07 1.1696447478e-07 1.7855868074e-07
7.6904296875e+01 2.5455983820e-07 9.9826242912e-08 1.5473359529e-07
7.7148437500e+01 2.1926822313e-07 8.5262406609e-08 1.3400581652e-07
7.7392578125e+01 1.9329019421e-07 7.4363750701e-08 1.1892644351e-07
7.7636718750e+01 1.7288296462e-07 6.5570548974e-08 1.0731241564e-07
7.7880859375e+01 1.5721029588e-07 5.9233519174e-08 9.7976776702e-08
7.8125000000e+01 1.4657063866e-07 5.4649792329e-08 9.1920846334e-08
7.8369140625e+01 1.4281961441e-07 5.2340293738e-08 9.0479320674e-08
7.8613281250e+01 1.4675033994e-07 5.3081804066e-08 9.3668535870e-08
7.8857421875e+01 1.5530065697e-07 5.6002601288e-08 9.9298055683e-08
7.9101562500e+01 1.5771407545e-07 5.6673825621e-08 1.0104024983e-07
7.9345703125e+01 1.4213970661e-07 5.1092395390e-08 9.1047311218e-08
7.9589843750e+01 1.0983578655e-07 3.9412536448e-08 7.0423250106e-08
7.9833984375e+01 7.2614916800e-08 2.5709450559e-08 4.6905466240e-08
8.0078125000e+01 4.3917337186e-08 1.5238211086e-08 2.8679126100e-08
8.0322265625e+01 2.8482002510e-08 9.7220053349e-09 1.8759997176e-08
8.0566406250e+01 2.1669993721e-08 7.3108178059e-09 1.4359175915e-08
8.0810546875e+01 1.8490175659e-08 6.2085037895e-09 1.2281671870e-08
8.1054687500e+01 1.6554826587e-08 5.5516498735e-09 1.1003176714e-08
8.1298828125e+01 1.5045711276e-08 5.0526123469e-09 9.9930989286e-09
