# freq_THz  G_total  G_Al  G_N
# MD-derived velocity power spectrum. Common normalization: integral(G_total) = 3*primitive_atoms.
# mass_weighted=True; primitive_atoms=2; block_duration_ps=4.09600000; df_THz=0.24414062; total_equals_sum_of_partials=True
5.0292968750e+01 3.1722020444e-04 1.1004107053e-04 2.0717913391e-04
5.0537109375e+01 2.8652708197e-04 9.7801097941e-05 1.8872598403e-04
5.0781250000e+01 2.6569892753e-04 8.9413461550e-05 1.7628546598e-04
5.1025390625e+01 2.5423940111e-04 8.3774481685e-05 1.7046491943e-04
5.1269531250e+01 2.4487063423e-04 7.9326399903e-05 1.6554423433e-04
5.1513671875e+01 2.4207253125e-04 7.7230147180e-05 1.6484238407e-04
5.1757812500e+01 2.5218902265e-04 7.9916170723e-05 1.7227285193e-04
5.2001953125e+01 2.8688797416e-04 8.9657923118e-05 1.9723005104e-04
5.2246093750e+01 3.6001496306e-04 1.0953951188e-04 2.5047545119e-04
5.2490234375e+01 4.3793289929e-04 1.3115724270e-04 3.0677565660e-04
5.2734375000e+01 4.5704010826e-04 1.3643715168e-04 3.2060295658e-04
5.2978515625e+01 3.7118708479e-04 1.1165329909e-04 2.5953378570e-04
5.3222656250e+01 2.2585121175e-04 6.8406804060e-05 1.5744440769e-04
5.3466796875e+01 1.1678846479e-04 3.6464963995e-05 8.0323500798e-05
5.3710937500e+01 7.1157805172e-05 2.3606876688e-05 4.7550928484e-05
5.3955078125e+01 4.9924872819e-05 1.7136150168e-05 3.2788722650e-05
5.4199218750e+01 3.4621335526e-05 1.1803170343e-05 2.2818165183e-05
5.4443359375e+01 2.7776183658e-05 9.4013416071e-06 1.8374842050e-05
5.4687500000e+01 2.3855481444e-05 7.9834519681e-06 1.5872029476e-05
5.4931640625e+01 2.0046225080e-05 6.6535450061e-06 1.3392680073e-05
5.5175781250e+01 1.8148942293e-05 6.1573480617e-06 1.1991594231e-05
5.5419921875e+01 1.7225034239e-05 5.9266700232e-06 1.1298364216e-05
5.5664062500e+01 1.6245448500e-05 5.6534365360e-06 1.0592011964e-05
5.5908203125e+01 1.4700956963e-05 5.1724274938e-06 9.5285294691e-06
5.6152343750e+01 1.3522279128e-05 4.8530259122e-06 8.6692532157e-06
5.6396484375e+01 1.2310024022e-05 4.5098571400e-06 7.8001668821e-06
5.6640625000e+01 1.1758027517e-05 4.3274670006e-06 7.4305605160e-06
5.6884765625e+01 1.1130708101e-05 4.1448846492e-06 6.9858234514e-06
5.7128906250e+01 9.9130820621e-06 3.8006058451e-06 6.1124762170e-06
5.7373046875e+01 8.9699565679e-06 3.5236454473e-06 5.4463111206e-06
5.7617187500e+01 7.9943655203e-06 2.8897589384e-06 5.1046065819e-06
5.7861328125e+01 7.6866793087e-06 2.3768674322e-06 5.3098118765e-06
5.8105468750e+01 7.7177201740e-06 2.1830970113e-06 5.5346231627e-06
5.8349609375e+01 7.2330436333e-06 2.0054336351e-06 5.2276099982e-06
5.8593750000e+01 6.3650597334e-06 1.8179821103e-06 4.5470776231e-06
5.8837890625e+01 5.5799911128e-06 1.6818993479e-06 3.8980917648e-06
5.9082031250e+01 5.2286494907e-06 1.7099550857e-06 3.5186944050e-06
5.9326171875e+01 6.0353685770e-06 2.2022030970e-06 3.8331654800e-06
5.9570312500e+01 6.9588178297e-06 2.6596415829e-06 4.2991762468e-06
5.9814453125e+01 6.2297328814e-06 2.3372233531e-06 3.8925095283e-06
6.0058593750e+01 4.9474673252e-06 1.7489709412e-06 3.1984963841e-06
6.0302734375e+01 4.3398641442e-06 1.4566037089e-06 2.8832604353e-06
6.0546875000e+01 4.5393482506e-06 1.4956865671e-06 3.0436616835e-06
6.0791015625e+01 4.7692365442e-06 1.5598480858e-06 3.2093884584e-06
6.1035156250e+01 4.2026414584e-06 1.3549746311e-06 2.8476668273e-06
6.1279296875e+01 3.4611068735e-06 1.0972720591e-06 2.3638348145e-06
6.1523437500e+01 3.0703832768e-06 9.6431117081e-07 2.1060721060e-06
6.1767578125e+01 2.8811093902e-06 8.9697920221e-07 1.9841301880e-06
