# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
1.5197753906e+01 5.2067853568e-02 4.6976900004e-02 5.0909535640e-03
1.5258789062e+01 4.3969070574e-02 3.9442764302e-02 4.5263062727e-03
1.5319824219e+01 3.6750545312e-02 3.2718627969e-02 4.0319173437e-03
1.5380859375e+01 3.0442955530e-02 2.6835792796e-02 3.6071627334e-03
1.5441894531e+01 2.5041233146e-02 2.1791942022e-02 3.2492911246e-03
1.5502929688e+01 2.0507450177e-02 1.7553732473e-02 2.9537177039e-03
1.5563964844e+01 1.6777293436e-02 1.4062824850e-02 2.7144685860e-03
1.5625000000e+01 1.3767030917e-02 1.1242292895e-02 2.5247380217e-03
1.5686035156e+01 1.1381925883e-02 9.0045871092e-03 2.3773387734e-03
1.5747070312e+01 9.5240242563e-03 7.2588628149e-03 2.2651614415e-03
1.5808105469e+01 8.0988809870e-03 5.9172681398e-03 2.1816128472e-03
1.5869140625e+01 7.0189770442e-03 4.8982737950e-03 2.1207032492e-03
1.5930175781e+01 6.2078685282e-03 4.1306071689e-03 2.0772613594e-03
1.5991210938e+01 5.6019681762e-03 3.5549110402e-03 2.0470571359e-03
1.6052246094e+01 5.1487391484e-03 3.1221387336e-03 2.0266004148e-03
1.6113281250e+01 4.8072264719e-03 2.7940470483e-03 2.0131794236e-03
1.6174316406e+01 4.5466879288e-03 2.5419172332e-03 2.0047706957e-03
1.6235351562e+01 4.3436864860e-03 2.3438512143e-03 1.9998352717e-03
1.6296386719e+01 4.1814965002e-03 2.1842076837e-03 1.9972888165e-03
1.6357421875e+01 4.0483680384e-03 2.0519672238e-03 1.9964008145e-03
1.6418457031e+01 3.9360591989e-03 1.9393610867e-03 1.9966981123e-03
1.6479492188e+01 3.8395056904e-03 1.8415570194e-03 1.9979486710e-03
1.6540527344e+01 3.7549438257e-03 1.7549075453e-03 2.0000362804e-03
1.6601562500e+01 3.6802133401e-03 1.6772368967e-03 2.0029764434e-03
1.6662597656e+01 3.6135843664e-03 1.6067475861e-03 2.0068367803e-03
1.6723632812e+01 3.5538633932e-03 1.5421403334e-03 2.0117230597e-03
1.6784667969e+01 3.5004919225e-03 1.4827217386e-03 2.0177701839e-03
1.6845703125e+01 3.4531517912e-03 1.4280472471e-03 2.0251045441e-03
1.6906738281e+01 3.4115795046e-03 1.3777601703e-03 2.0338193343e-03
1.6967773438e+01 3.3755031184e-03 1.3315411777e-03 2.0439619407e-03
