# freq_THz  G_total_s  G_Al_s  G_N_s
# Smoothed MD-derived velocity power spectrum. Common normalization: integral(G_total_s) = 3*primitive_atoms.
# Gaussian_sigma_THz=0.38; mass_weighted=True; primitive_atoms=2; total_equals_sum_of_species=True
1.8310546875e+01 1.6406994449e-02 4.7403768062e-03 1.1666617643e-02
1.8371582031e+01 1.8304490851e-02 5.2222494172e-03 1.3082241434e-02
1.8432617188e+01 2.0641584263e-02 5.8268718445e-03 1.4814712418e-02
1.8493652344e+01 2.3368019923e-02 6.5360816894e-03 1.6831938233e-02
1.8554687500e+01 2.6406734528e-02 7.3236386384e-03 1.9083095889e-02
1.8615722656e+01 2.9657679991e-02 8.1561209563e-03 2.1501559035e-02
1.8676757812e+01 3.3002449649e-02 8.9943659198e-03 2.4008083730e-02
1.8737792969e+01 3.6313923476e-02 9.7959506831e-03 2.6517972793e-02
1.8798828125e+01 3.9467440117e-02 1.0518173457e-02 2.8949266660e-02
1.8859863281e+01 4.2353835057e-02 1.1121530039e-02 3.1232305018e-02
1.8920898438e+01 4.4893304097e-02 1.1573407158e-02 3.3319896938e-02
1.8981933594e+01 4.7047862426e-02 1.1851373158e-02 3.5196489268e-02
1.9042968750e+01 4.8828910146e-02 1.1945612635e-02 3.6883297511e-02
1.9104003906e+01 5.0300952279e-02 1.1860316109e-02 3.8440636170e-02
1.9165039062e+01 5.1579722324e-02 1.1613698026e-02 3.9966024297e-02
1.9226074219e+01 5.2821834416e-02 1.1236306468e-02 4.1585527948e-02
1.9287109375e+01 5.4209932486e-02 1.0768231614e-02 4.3441700872e-02
1.9348144531e+01 5.5935847419e-02 1.0255637154e-02 4.5680210266e-02
1.9409179688e+01 5.8179712081e-02 9.7464297929e-03 4.8433282288e-02
1.9470214844e+01 6.1088733621e-02 9.2858219162e-03 5.1802911705e-02
1.9531250000e+01 6.4763830615e-02 8.9129552388e-03 5.5850875377e-02
1.9592285156e+01 6.9248696602e-02 8.6580576360e-03 6.0590638966e-02
1.9653320312e+01 7.4524791422e-02 8.5406886656e-03 6.5984102756e-02
1.9714355469e+01 8.0514353122e-02 8.5694125862e-03 7.1944940536e-02
1.9775390625e+01 8.7090824151e-02 8.7427260648e-03 7.8348098086e-02
1.9836425781e+01 9.4091659152e-02 9.0505943574e-03 8.5041064795e-02
1.9897460938e+01 1.0133407865e-01 9.4766448540e-03 9.1857433798e-02
1.9958496094e+01 1.0863364231e-01 1.0000949446e-02 9.8632692865e-02
2.0019531250e+01 1.1582021541e-01 1.0602535560e-02 1.0521767985e-01
2.0080566406e+01 1.2275203768e-01 1.1261667055e-02 1.1149037062e-01
2.0141601562e+01 1.2932531605e-01 1.1961640177e-02 1.1736367588e-01
2.0202636719e+01 1.3548035896e-01 1.2690121986e-02 1.2279023697e-01
2.0263671875e+01 1.4120086560e-01 1.3439477655e-02 1.2776138795e-01
2.0324707031e+01 1.4651143229e-01 1.4206918944e-02 1.3230451335e-01
